nome_uf,total,porcentagem
Acre,31584,3.83
Alagoas,25685,0.82
Amapá,11293,1.55
Amazonas,489013,12.45
Bahia,225631,1.60
Ceará,56142,0.64
Distrito Federal,5584,0.20
Espírito Santo,14353,0.38
Goiás,18927,0.27
Maranhão,57031,0.84
Mato Grosso,58055,1.60
Mato Grosso do Sul,115752,4.23
Minas Gerais,35998,0.18
Pará,80154,0.99
Paraíba,29867,0.75
Paraná,30041,0.26
Pernambuco,106321,1.18
Piauí,6929,0.21
Rio de Janeiro,16919,0.11
Rio Grande do Norte,11607,0.35
Rio Grande do Sul,30571,0.28
Rondônia,20834,1.32
Roraima,95198,15.28
Santa Catarina,21371,0.28
São Paulo,54088,0.12
Sergipe,4677,0.21
Tocantins,19933,1.32
