idade_grupo,sexo,total
0 a 14 anos,Homens,20464872
0 a 14 anos,Mulheres,-19662751
15 a 24 anos,Homens,15083615
15 a 24 anos,Mulheres,-14756882
25 a 34 anos,Homens,15163133
25 a 34 anos,Mulheres,-15777225
35 a 44 anos,Homens,15607246
35 a 44 anos,Mulheres,-16635755
45 a 54 anos,Homens,12562825
45 a 54 anos,Mulheres,-13674553
55 a 64 anos,Homens,10024842
55 a 64 anos,Mulheres,-11487710
65 a 74 anos,Homens,6203172
65 a 74 anos,Mulheres,-7531058
75 anos ou mais,Homens,3416383
75 anos ou mais,Mulheres,-5017615
