nome_uf,idade_grupo,populacao_grupo,populacao_estado,proporcao
Acre,0 a 14 anos,221160,908707,24.34
Acre,15 a 24 anos,234625,908707,25.82
Acre,25 a 34 anos,194723,908707,21.43
Acre,35 a 44 anos,108066,908707,11.89
Acre,45 a 54 anos,71717,908707,7.89
Acre,55 a 64 anos,45538,908707,5.01
Acre,65 a 74 anos,32878,908707,3.62
Alagoas,0 a 14 anos,711691,3385876,21.02
Alagoas,15 a 24 anos,775026,3385876,22.89
Alagoas,25 a 34 anos,711444,3385876,21.01
Alagoas,35 a 44 anos,437413,3385876,12.92
Alagoas,45 a 54 anos,341081,3385876,10.07
Alagoas,55 a 64 anos,230172,3385876,6.80
Alagoas,65 a 74 anos,179049,3385876,5.29
Amapá,0 a 14 anos,198176,801387,24.73
Amapá,15 a 24 anos,204644,801387,25.54
Amapá,25 a 34 anos,178895,801387,22.32
Amapá,35 a 44 anos,94543,801387,11.80
Amapá,45 a 54 anos,63213,801387,7.89
Amapá,55 a 64 anos,37479,801387,4.68
Amapá,65 a 74 anos,24437,801387,3.05
Amazonas,0 a 14 anos,1075426,4309591,24.95
Amazonas,15 a 24 anos,1098834,4309591,25.50
Amazonas,25 a 34 anos,928577,4309591,21.55
Amazonas,35 a 44 anos,510664,4309591,11.85
Amazonas,45 a 54 anos,339108,4309591,7.87
Amazonas,55 a 64 anos,215739,4309591,5.01
Amazonas,65 a 74 anos,141243,4309591,3.28
Bahia,0 a 14 anos,2863071,15210585,18.82
Bahia,15 a 24 anos,3222185,15210585,21.18
Bahia,25 a 34 anos,3203551,15210585,21.06
Bahia,35 a 44 anos,2126056,15210585,13.98
Bahia,45 a 54 anos,1636443,15210585,10.76
Bahia,55 a 64 anos,1153753,15210585,7.59
Bahia,65 a 74 anos,1005526,15210585,6.61
Ceará,0 a 14 anos,1802435,9443769,19.09
Ceará,15 a 24 anos,1999303,9443769,21.17
Ceará,25 a 34 anos,2121307,9443769,22.46
Ceará,35 a 44 anos,1232589,9443769,13.05
Ceará,45 a 54 anos,997602,9443769,10.56
Ceará,55 a 64 anos,672897,9443769,7.13
Ceará,65 a 74 anos,617636,9443769,6.54
Distrito Federal,0 a 14 anos,534233,3025927,17.66
Distrito Federal,15 a 24 anos,645058,3025927,21.32
Distrito Federal,25 a 34 anos,686645,3025927,22.69
Distrito Federal,35 a 44 anos,463429,3025927,15.32
Distrito Federal,45 a 54 anos,331472,3025927,10.95
Distrito Federal,55 a 64 anos,206463,3025927,6.82
Distrito Federal,65 a 74 anos,158627,3025927,5.24
Espírito Santo,0 a 14 anos,741496,4089741,18.13
Espírito Santo,15 a 24 anos,788091,4089741,19.27
Espírito Santo,25 a 34 anos,884813,4089741,21.63
Espírito Santo,35 a 44 anos,576351,4089741,14.09
Espírito Santo,45 a 54 anos,467592,4089741,11.43
Espírito Santo,55 a 64 anos,362203,4089741,8.86
Espírito Santo,65 a 74 anos,269195,4089741,6.58
Goiás,0 a 14 anos,1431289,7565296,18.92
Goiás,15 a 24 anos,1571920,7565296,20.78
Goiás,25 a 34 anos,1708037,7565296,22.58
Goiás,35 a 44 anos,1065838,7565296,14.09
