nome_uf,total,porcentagem
Acre,0,0.00
Alagoas,37689,1.21
Amapá,12884,1.77
Amazonas,2806,0.07
Bahia,391779,2.78
Ceará,23869,0.27
Distrito Federal,304,0.01
Espírito Santo,15208,0.40
Goiás,28387,0.40
Maranhão,265154,3.92
Mato Grosso,11723,0.32
Mato Grosso do Sul,2560,0.09
Minas Gerais,134429,0.66
Pará,135387,1.67
Paraíba,16351,0.41
Paraná,7069,0.06
Pernambuco,78744,0.87
Piauí,31555,0.97
Rio de Janeiro,20431,0.13
Rio Grande do Norte,22349,0.68
Rio Grande do Sul,16965,0.16
Rondônia,2863,0.18
Roraima,0,0.00
Santa Catarina,4418,0.06
São Paulo,10936,0.02
Sergipe,26073,1.18
Tocantins,13056,0.87
