idade_grupo,cor_raca,total,porcentagem_na_idade
0 a 14 anos,Amarela,96204,0.24
0 a 14 anos,Branca,16928202,42.19
0 a 14 anos,Indígena,403008,1.00
0 a 14 anos,Parda,19768271,49.26
0 a 14 anos,Preta,2931938,7.31
15 a 24 anos,Amarela,91606,0.31
15 a 24 anos,Branca,11687179,39.17
15 a 24 anos,Indígena,235857,0.79
15 a 24 anos,Parda,14696996,49.25
15 a 24 anos,Preta,3128859,10.49
25 a 34 anos,Amarela,108560,0.35
25 a 34 anos,Branca,12557978,40.59
25 a 34 anos,Indígena,179356,0.58
25 a 34 anos,Parda,14564226,47.07
25 a 34 anos,Preta,3530238,11.41
35 a 44 anos,Amarela,134648,0.42
35 a 44 anos,Branca,13552562,42.03
35 a 44 anos,Indígena,148021,0.46
35 a 44 anos,Parda,14705924,45.61
35 a 44 anos,Preta,3701846,11.48
45 a 54 anos,Amarela,116579,0.44
45 a 54 anos,Branca,11486257,43.78
45 a 54 anos,Indígena,106617,0.41
45 a 54 anos,Parda,11565177,44.08
45 a 54 anos,Preta,2962748,11.29
55 a 64 anos,Amarela,108995,0.51
55 a 64 anos,Branca,10294372,47.85
55 a 64 anos,Indígena,76713,0.36
55 a 64 anos,Parda,8768536,40.76
55 a 64 anos,Preta,2263936,10.52
65 a 74 anos,Amarela,103235,0.75
65 a 74 anos,Branca,7052205,51.35
65 a 74 anos,Indígena,46632,0.34
65 a 74 anos,Parda,5166069,37.61
65 a 74 anos,Preta,1366089,9.95
75 anos ou mais,Amarela,90303,1.07
75 anos ou mais,Branca,4693366,55.65
75 anos ou mais,Indígena,31438,0.37
75 anos ou mais,Parda,2848087,33.77
75 anos ou mais,Preta,770804,9.14
