nome_uf,em_terra_indigena,total_indigena,total_quilombola,em_terra_quilombola
Acre,19562,31584,0,0
Alagoas,6671,25685,37689,691
Amapá,7853,11293,12884,4909
Amazonas,148712,489013,2806,1225
Bahia,17162,225631,391779,20702
Ceará,10520,56142,23869,4554
Distrito Federal,0,5584,304,0
Espírito Santo,4661,14353,15208,2678
Goiás,266,18927,28387,5086
Maranhão,41642,57031,265154,29115
Mato Grosso,45140,58055,11723,958
Mato Grosso do Sul,68681,115752,2560,1145
Minas Gerais,12103,35998,134429,4556
Pará,41673,80154,135387,44535
Paraíba,19038,29867,16351,2910
Paraná,13816,30041,7069,645
Pernambuco,34282,106321,78744,6746
Piauí,114,6929,31555,8392
Rio de Janeiro,546,16919,20431,3500
Rio Grande do Norte,0,11607,22349,3443
Rio Grande do Sul,15613,30571,16965,2586
Rondônia,11504,20834,2863,187
Roraima,71161,95198,0,0
Santa Catarina,10720,21371,4418,553
São Paulo,4144,54088,10936,4039
Sergipe,329,4677,26073,12715
Tocantins,15196,19933,13056,1328
